timestamp,model,quant,tier,task,n_shot,metric,value,stderr,samples_original,samples_effective,result_json
2026-04-12 14:09:15,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,awq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/awq/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4/results_2026-04-12T14-09-13.717526.json
2026-04-12 14:23:32,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,awq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/awq/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4/results_2026-04-12T14-23-30.095859.json
2026-04-12 14:26:33,hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,gptq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/gptq/hugging-quants__Meta-Llama-3.1-8B-Instruct-GPTQ-INT4/results_2026-04-12T14-26-30.594731.json
2026-04-12 15:58:24,hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,gptq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/gptq/hugging-quants__Meta-Llama-3.1-8B-Instruct-GPTQ-INT4/results_2026-04-12T15-58-22.362152.json
2026-04-12 16:00:54,hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,gptq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/gptq/hugging-quants__Meta-Llama-3.1-8B-Instruct-GPTQ-INT4/results_2026-04-12T16-00-51.522480.json
2026-04-12 16:15:49,hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,gptq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/gptq/hugging-quants__Meta-Llama-3.1-8B-Instruct-GPTQ-INT4/results_2026-04-12T16-15-46.911960.json
2026-04-12 16:19:18,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-14B/results_2026-04-12T16-19-15.119172.json
2026-04-12 18:03:22,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,bf16,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-14B/results_2026-04-12T18-03-19.745174.json
2026-04-12 18:05:55,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,bf16,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-14B/results_2026-04-12T18-05-53.007348.json
2026-04-12 18:21:09,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,bf16,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-14B/results_2026-04-12T18-21-07.618240.json
2026-04-12 18:24:21,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic,fp8,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/fp8/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic/results_2026-04-12T18-24-19.974300.json
2026-04-12 19:58:50,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic,fp8,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/fp8/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic/results_2026-04-12T19-58-48.824838.json
2026-04-12 20:01:25,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic,fp8,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/fp8/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic/results_2026-04-12T20-01-22.631195.json
2026-04-12 20:15:20,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic,fp8,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/fp8/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic/results_2026-04-12T20-15-18.350135.json
2026-04-12 20:18:33,Corianas/DeepSeek-R1-Distill-Qwen-14B-AWQ,awq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/awq/Corianas__DeepSeek-R1-Distill-Qwen-14B-AWQ/results_2026-04-12T20-18-29.792641.json
2026-04-12 22:10:13,Corianas/DeepSeek-R1-Distill-Qwen-14B-AWQ,awq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/awq/Corianas__DeepSeek-R1-Distill-Qwen-14B-AWQ/results_2026-04-12T22-10-11.494022.json
2026-04-12 22:13:08,Corianas/DeepSeek-R1-Distill-Qwen-14B-AWQ,awq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/awq/Corianas__DeepSeek-R1-Distill-Qwen-14B-AWQ/results_2026-04-12T22-13-05.807243.json
2026-04-12 22:29:10,Corianas/DeepSeek-R1-Distill-Qwen-14B-AWQ,awq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/awq/Corianas__DeepSeek-R1-Distill-Qwen-14B-AWQ/results_2026-04-12T22-29-07.725024.json
2026-04-12 22:32:24,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,gptq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/gptq/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16/results_2026-04-12T22-32-22.709250.json
2026-04-13 00:24:44,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,gptq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/gptq/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16/results_2026-04-13T00-24-43.937661.json
2026-04-13 00:27:35,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,gptq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/gptq/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16/results_2026-04-13T00-27-30.794934.json
2026-04-13 00:43:59,RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,gptq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/gptq/RedHatAI__DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16/results_2026-04-13T00-43-56.449729.json
2026-04-13 00:47:48,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-32B/results_2026-04-13T00-47-46.861876.json
2026-04-13 03:32:18,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,bf16,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-32B/results_2026-04-13T03-32-16.684149.json
2026-04-13 03:35:39,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,bf16,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-32B/results_2026-04-13T03-35-36.433211.json
2026-04-13 03:59:07,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,bf16,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-32B/results_2026-04-13T03-59-04.194638.json
2026-04-13 04:03:05,neuralmagic/DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic,fp8,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic/results_2026-04-13T04-03-03.298119.json
2026-04-13 06:26:53,neuralmagic/DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic,fp8,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic/results_2026-04-13T06-26-51.292420.json
2026-04-13 06:30:31,neuralmagic/DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic,fp8,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic/results_2026-04-13T06-30-28.324368.json
2026-04-13 06:50:57,neuralmagic/DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic,fp8,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-32B-FP8-dynamic/results_2026-04-13T06-50-54.264264.json
2026-04-13 06:54:56,inarikami/DeepSeek-R1-Distill-Qwen-32B-AWQ,awq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/awq/inarikami__DeepSeek-R1-Distill-Qwen-32B-AWQ/results_2026-04-13T06-54-52.951813.json
2026-04-13 09:57:36,inarikami/DeepSeek-R1-Distill-Qwen-32B-AWQ,awq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/awq/inarikami__DeepSeek-R1-Distill-Qwen-32B-AWQ/results_2026-04-13T09-57-34.191961.json
2026-04-13 10:01:46,inarikami/DeepSeek-R1-Distill-Qwen-32B-AWQ,awq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/awq/inarikami__DeepSeek-R1-Distill-Qwen-32B-AWQ/results_2026-04-13T10-01-44.323901.json
2026-04-13 10:27:16,inarikami/DeepSeek-R1-Distill-Qwen-32B-AWQ,awq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/awq/inarikami__DeepSeek-R1-Distill-Qwen-32B-AWQ/results_2026-04-13T10-27-11.793414.json
2026-04-13 10:31:00,dwetzel/DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4,gptq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/gptq/dwetzel__DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4/results_2026-04-13T10-30-58.456837.json
2026-04-13 13:22:22,dwetzel/DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4,gptq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/gptq/dwetzel__DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4/results_2026-04-13T13-22-22.097781.json
2026-04-13 13:25:32,dwetzel/DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4,gptq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/gptq/dwetzel__DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4/results_2026-04-13T13-25-31.752018.json
2026-04-13 13:45:53,dwetzel/DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4,gptq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/gptq/dwetzel__DeepSeek-R1-Distill-Qwen-32B-GPTQ-INT4/results_2026-04-13T13-45-52.967207.json
2026-04-13 14:49:20,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-7B/results_2026-04-13T14-49-19.487063.json
2026-04-13 14:57:35,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-7B/results_2026-04-13T14-57-35.352008.json
2026-04-13 15:46:53,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bf16,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-7B/results_2026-04-13T15-46-52.823053.json
2026-04-13 15:47:59,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bf16,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-7B/results_2026-04-13T15-47-58.995501.json
2026-04-13 15:54:52,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bf16,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/bf16/deepseek-ai__DeepSeek-R1-Distill-Qwen-7B/results_2026-04-13T15-54-51.384925.json
2026-04-13 16:09:19,neuralmagic/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic,fp8,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic/results_2026-04-13T16-09-18.791253.json
2026-04-13 16:55:11,neuralmagic/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic,fp8,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic/results_2026-04-13T16-55-10.552161.json
2026-04-13 16:56:21,neuralmagic/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic,fp8,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic/results_2026-04-13T16-56-20.567684.json
2026-04-13 17:02:47,neuralmagic/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic,fp8,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic/results_2026-04-13T17-02-46.788451.json
2026-04-13 17:04:11,AngelSlim/Deepseek_r1_distill_qwen-7b_int4_awq,awq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/awq/AngelSlim__Deepseek_r1_distill_qwen-7b_int4_awq/results_2026-04-13T17-04-11.079365.json
2026-04-13 17:58:21,AngelSlim/Deepseek_r1_distill_qwen-7b_int4_awq,awq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/awq/AngelSlim__Deepseek_r1_distill_qwen-7b_int4_awq/results_2026-04-13T17-58-20.663053.json
2026-04-13 17:59:38,AngelSlim/Deepseek_r1_distill_qwen-7b_int4_awq,awq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/awq/AngelSlim__Deepseek_r1_distill_qwen-7b_int4_awq/results_2026-04-13T17-59-37.365208.json
2026-04-13 18:07:03,AngelSlim/Deepseek_r1_distill_qwen-7b_int4_awq,awq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/awq/AngelSlim__Deepseek_r1_distill_qwen-7b_int4_awq/results_2026-04-13T18-07-03.194850.json
2026-04-13 18:08:28,jakiAJK/DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4,gptq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/gptq/jakiAJK__DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4/results_2026-04-13T18-08-27.634162.json
2026-04-13 19:01:57,jakiAJK/DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4,gptq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/gptq/jakiAJK__DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4/results_2026-04-13T19-01-57.197750.json
2026-04-13 19:03:12,jakiAJK/DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4,gptq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/gptq/jakiAJK__DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4/results_2026-04-13T19-03-11.783238.json
2026-04-13 19:10:35,jakiAJK/DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4,gptq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/gptq/jakiAJK__DeepSeek-R1-Distill-Qwen-7B_GPTQ-int4/results_2026-04-13T19-10-35.068994.json
2026-04-13 19:12:55,Qwen/Qwen3-32B,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-32B/results_2026-04-13T19-12-55.105808.json
2026-04-13 21:54:17,Qwen/Qwen3-32B,bf16,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-32B/results_2026-04-13T21-54-16.345892.json
2026-04-13 21:57:06,Qwen/Qwen3-32B,bf16,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-32B/results_2026-04-13T21-57-05.287216.json
2026-04-13 22:21:31,Qwen/Qwen3-32B,bf16,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-32B/results_2026-04-13T22-21-31.009458.json
2026-04-13 22:25:43,Qwen/Qwen3-32B-FP8,fp8,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-32B-FP8/results_2026-04-13T22-25-42.988437.json
2026-04-14 00:28:50,Qwen/Qwen3-32B-FP8,fp8,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-32B-FP8/results_2026-04-14T00-28-50.279135.json
2026-04-14 00:31:07,Qwen/Qwen3-32B-FP8,fp8,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-32B-FP8/results_2026-04-14T00-31-07.131458.json
2026-04-14 00:48:53,Qwen/Qwen3-32B-FP8,fp8,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-32B-FP8/results_2026-04-14T00-48-53.113271.json
2026-04-14 00:51:19,Qwen/Qwen3-32B-AWQ,awq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/awq/Qwen__Qwen3-32B-AWQ/results_2026-04-14T00-51-18.299711.json
2026-04-14 03:45:33,Qwen/Qwen3-32B-AWQ,awq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/awq/Qwen__Qwen3-32B-AWQ/results_2026-04-14T03-45-32.724813.json
2026-04-14 03:48:45,Qwen/Qwen3-32B-AWQ,awq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/awq/Qwen__Qwen3-32B-AWQ/results_2026-04-14T03-48-44.532551.json
2026-04-14 04:13:16,Qwen/Qwen3-32B-AWQ,awq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/awq/Qwen__Qwen3-32B-AWQ/results_2026-04-14T04-13-15.303531.json
2026-04-14 04:15:31,JunHowie/Qwen3-32B-GPTQ-Int4,gptq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/gptq/JunHowie__Qwen3-32B-GPTQ-Int4/results_2026-04-14T04-15-30.739814.json
2026-04-14 07:05:47,JunHowie/Qwen3-32B-GPTQ-Int4,gptq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/gptq/JunHowie__Qwen3-32B-GPTQ-Int4/results_2026-04-14T07-05-46.580277.json
2026-04-14 07:08:59,JunHowie/Qwen3-32B-GPTQ-Int4,gptq,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/gptq/JunHowie__Qwen3-32B-GPTQ-Int4/results_2026-04-14T07-08-59.026694.json
2026-04-14 07:33:09,JunHowie/Qwen3-32B-GPTQ-Int4,gptq,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/gptq/JunHowie__Qwen3-32B-GPTQ-Int4/results_2026-04-14T07-33-08.938773.json
2026-04-14 07:34:44,Qwen/Qwen3-8B,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-8B/results_2026-04-14T07-34-44.074358.json
2026-04-14 08:30:56,Qwen/Qwen3-8B,bf16,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-8B/results_2026-04-14T08-30-55.930180.json
2026-04-14 08:32:13,Qwen/Qwen3-8B,bf16,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-8B/results_2026-04-14T08-32-13.104549.json
2026-04-14 08:40:32,Qwen/Qwen3-8B,bf16,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/bf16/Qwen__Qwen3-8B/results_2026-04-14T08-40-31.503584.json
2026-04-14 08:44:15,Qwen/Qwen3-8B-FP8,fp8,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-8B-FP8/results_2026-04-14T08-44-14.797744.json
2026-04-14 09:33:00,Qwen/Qwen3-8B-FP8,fp8,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-8B-FP8/results_2026-04-14T09-33-00.041705.json
2026-04-14 09:34:12,Qwen/Qwen3-8B-FP8,fp8,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-8B-FP8/results_2026-04-14T09-34-11.600961.json
2026-04-14 09:41:21,Qwen/Qwen3-8B-FP8,fp8,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/fp8/Qwen__Qwen3-8B-FP8/results_2026-04-14T09-41-20.543177.json
